CN,Year,UNU_Key
84589180,2001,1204
84589120,2002,1204
84589180,2002,1204
84589120,2003,1204
84589180,2003,1204
84589120,2004,1204
84589180,2004,1204
84589120,2005,1204
84589180,2005,1204
84589120,2006,1204
84589180,2006,1204
84589120,2007,1204
84589180,2007,1204
84589120,2008,1204
84589180,2008,1204
84589120,2009,1204
84589180,2009,1204
84589120,2010,1204
84589180,2010,1204
84589120,2011,1204
84589180,2011,1204
84589120,2012,1204
84589180,2012,1204
84589120,2013,1204
84589180,2013,1204
84589120,2014,1204
84589180,2014,1204
84589120,2015,1204
84589180,2015,1204
84589120,2016,1204
84589180,2016,1204
84589120,2017,1204
84589180,2017,1204
84589120,2018,1204
84589180,2018,1204
84589910,1993,1204
84589990,1993,1204
84589910,1994,1204
84589990,1994,1204
84589900,1995,1204
84589900,1996,1204
84589900,1997,1204
84589900,1998,1204
84589900,1999,1204
84589900,2000,1204
84589900,2001,1204
84589900,2002,1204
84589900,2003,1204
84589900,2004,1204
84589900,2005,1204
84589900,2006,1204
84589900,2007,1204
84589900,2008,1204
84589900,2009,1204
84589900,2010,1204
84589900,2011,1204
84589900,2012,1204
84589900,2013,1204
84589900,2014,1204
84589900,2015,1204
84589900,2016,1204
84589900,2017,1204
84589900,2018,1204
84591000,1993,1204
84591000,1994,1204
84591000,1995,1204
84591000,1996,1204
84591000,1997,1204
84591000,1998,1204
84591000,1999,1204
84591000,2000,1204
84591000,2001,1204
84591000,2002,1204
84591000,2003,1204
84591000,2004,1204
84591000,2005,1204
84591000,2006,1204
84591000,2007,1204
84591000,2008,1204
84591000,2009,1204
84591000,2010,1204
84591000,2011,1204
84591000,2012,1204
84591000,2013,1204
84591000,2014,1204
84591000,2015,1204
84591000,2016,1204
84591000,2017,1204
84591000,2018,1204
84592110,1993,1204
84592191,1993,1204
84592199,1993,1204
84592110,1994,1204
84592191,1994,1204
84592199,1994,1204
84592100,1995,1204
84592100,1996,1204
84592100,1997,1204
84592100,1998,1204
84592100,1999,1204
84592100,2000,1204
84592100,2001,1204
84592100,2002,1204
84592100,2003,1204
84592100,2004,1204
84592100,2005,1204
84592100,2006,1204
84592100,2007,1204
84592100,2008,1204
84592100,2009,1204
84592100,2010,1204
84592100,2011,1204
84592100,2012,1204
84592100,2013,1204
84592100,2014,1204
84592100,2015,1204
84592100,2016,1204
84592100,2017,1204
84592100,2018,1204
84592910,1993,1204
84592991,1993,1204
84592999,1993,1204
84592910,1994,1204
84592991,1994,1204
84592999,1994,1204
84592900,1995,1204
84592900,1996,1204
84592900,1997,1204
84592900,1998,1204
84592900,1999,1204
84592900,2000,1204
84592900,2001,1204
84592900,2002,1204
84592900,2003,1204
84592900,2004,1204
84592900,2005,1204
84592900,2006,1204
84592900,2007,1204
84592900,2008,1204
84592900,2009,1204
84592900,2010,1204
84592900,2011,1204
84592900,2012,1204
84592900,2013,1204
84592900,2014,1204
84592900,2015,1204
84592900,2016,1204
84592900,2017,1204
84592900,2018,1204
84593100,1993,1204
84593100,1994,1204
84593100,1995,1204
84593100,1996,1204
84593100,1997,1204
84593100,1998,1204
84593100,1999,1204
84593100,2000,1204
84593100,2001,1204
84593100,2002,1204
84593100,2003,1204
84593100,2004,1204
84593100,2005,1204
84593100,2006,1204
84593100,2007,1204
84593100,2008,1204
84593100,2009,1204
84593100,2010,1204
84593100,2011,1204
84593100,2012,1204
84593100,2013,1204
84593100,2014,1204
84593100,2015,1204
84593100,2016,1204
84593100,2017,1204
84593100,2018,1204
84593900,1993,1204
84593900,1994,1204
84593900,1995,1204
84593900,1996,1204
84593900,1997,1204
84593900,1998,1204
84593900,1999,1204
84593900,2000,1204
84593900,2001,1204
84593900,2002,1204
84593900,2003,1204
84593900,2004,1204
84593900,2005,1204
84593900,2006,1204
84593900,2007,1204
84593900,2008,1204
84593900,2009,1204
84593900,2010,1204
84593900,2011,1204
84593900,2012,1204
84593900,2013,1204
84593900,2014,1204
84593900,2015,1204
84593900,2016,1204
84593900,2017,1204
84593900,2018,1204
84594010,1993,1204
84594090,1993,1204
84594010,1994,1204
84594090,1994,1204
84594010,1995,1204
84594090,1995,1204
84594010,1996,1204
84594090,1996,1204
84594010,1997,1204
84594090,1997,1204
84594010,1998,1204
84594090,1998,1204
84594010,1999,1204
84594090,1999,1204
84594010,2000,1204
84594090,2000,1204
84594010,2001,1204
84594090,2001,1204
84594010,2002,1204
84594090,2002,1204
84594010,2003,1204
84594090,2003,1204
84594010,2004,1204
84594090,2004,1204
84594010,2005,1204
84594090,2005,1204
84594010,2006,1204
84594090,2006,1204
84594010,2007,1204
84594090,2007,1204
84594010,2008,1204
84594090,2008,1204
84594010,2009,1204
84594090,2009,1204
84594010,2010,1204
84594090,2010,1204
84594010,2011,1204
84594090,2011,1204
84594010,2012,1204
84594090,2012,1204
84594010,2013,1204
84594090,2013,1204
84594010,2014,1204
84594090,2014,1204
84594010,2015,1204
84594090,2015,1204
84594010,2016,1204
84594090,2016,1204
84595100,1993,1204
84595100,1994,1204
84595100,1995,1204
84595100,1996,1204
84595100,1997,1204
84595100,1998,1204
84595100,1999,1204
84595100,2000,1204
84595100,2001,1204
84595100,2002,1204
84595100,2003,1204
84595100,2004,1204
84595100,2005,1204
84595100,2006,1204
84595100,2007,1204
84595100,2008,1204
84595100,2009,1204
84595100,2010,1204
84595100,2011,1204
84595100,2012,1204
84595100,2013,1204
84595100,2014,1204
84595100,2015,1204
84595100,2016,1204
84595100,2017,1204
84595100,2018,1204
84595900,1993,1204
84595900,1994,1204
84595900,1995,1204
84595900,1996,1204
84595900,1997,1204
84595900,1998,1204
84595900,1999,1204
84595900,2000,1204
84595900,2001,1204
84595900,2002,1204
84595900,2003,1204
84595900,2004,1204
84595900,2005,1204
84595900,2006,1204
84595900,2007,1204
84595900,2008,1204
84595900,2009,1204
84595900,2010,1204
84595900,2011,1204
84595900,2012,1204
84595900,2013,1204
84595900,2014,1204
84595900,2015,1204
84595900,2016,1204
84595900,2017,1204
84595900,2018,1204
84596110,1993,1204
84596191,1993,1204
84596199,1993,1204
84596110,1994,1204
84596191,1994,1204
84596199,1994,1204
84596110,1995,1204
84596191,1995,1204
84596199,1995,1204
