"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","2016","FIN",243069.8,7879.08589951378
"0001","2016","FRA",67259513.2,2180211.12479741
"0001","2016","GBR",198530869.6,6435360.44084279
"0001","2016","GRC",2062950,66870.340356564
"0001","2016","HUN",2257571.6,73178.982171799
"0001","2016","IRL",2120481.20000001,68735.2090761754
"0001","2016","ITA",140721970.8,4561490.13938412
"0001","2016","LTU",1000351.2,32426.2949756888
"0001","2016","LUX",806395,26139.2220421394
"0001","2016","LVA",1219335.6,39524.6547811994
"0001","2016","MLT",553996,17957.7309562399
"0001","2016","NLD",62378090.2,2021980.23338736
"0001","2016","POL",44871606.6,1454509.1280389
"0001","2016","PRT",7533479.8,244197.076175041
"0001","2016","ROU",19416450.4,629382.5089141
"0001","2016","SVK",28756939.2,932153.620745543
"0001","2016","SVN",1652930.4,53579.5915721232
"0001","2016","SWE",4630568.4,150099.46191248
"0001","2017","BEL",16051667,520313.354943274
"0001","2017","BGR",2297778,74482.2690437601
"0001","2017","CYP",274643,8902.528363047
"0001","2017","DEU",74161699.6,2403944.88168558
"0001","2017","DNK",344663.8,11172.2463533225
"0001","2017","ESP",21188648.8,686828.162074554
"0001","2017","EST",244553.4,7927.17666126418
"0001","2017","FIN",498003,16142.7228525122
"0001","2017","FRA",71962815.4,2332668.24635332
"0001","2017","GBR",200198049.8,6489401.93841167
"0001","2017","GRC",3390989.2,109918.612641815
"0001","2017","HRV",27461,890.14586709885
"0001","2017","HUN",1573552.6,51006.56726094
"0001","2017","IRL",1182291.80000001,38323.8833063213
"0001","2017","ITA",183629936.6,5952348.02593193
"0001","2017","LTU",1603352.2,51972.5186385737
"0001","2017","LUX",766913,24859.4165316045
"0001","2017","LVA",1268172.4,41107.6952998379
"0001","2017","MLT",10708,347.09886547812
"0001","2017","NLD",64174992.8,2080226.67098865
"0001","2017","POL",53312632,1728124.21393841
"0001","2017","PRT",7290743.4,236328.797406807
"0001","2017","ROU",21900863.0071429,709914.5221116
"0001","2017","SVK",42653517,1382609.95137763
"0001","2017","SVN",988142.4,32030.5478119935
"0001","2017","SWE",4851133.2,157249.050243112
"0001","2018","BEL",13535044.2,438737.251215559
"0001","2018","BGR",2085059.2,67587.0081037277
"0001","2018","CYP",189452,6141.06969205835
"0001","2018","DEU",58786251.6,1905551.10534846
"0001","2018","ESP",24548827.2,795748.045380875
"0001","2018","EST",145906.2,4729.53646677472
"0001","2018","FIN",428939,13904.0194489465
"0001","2018","FRA",78755901.8,2552865.53646677
"0001","2018","GBR",246146178.8,7978806.44408428
"0001","2018","GRC",3475072.8,112644.175040519
"0001","2018","HRV",246694.2,7996.57050243113
"0001","2018","HUN",1490479.4,48313.7568881685
"0001","2018","ITA",185109061.4,6000293.72447326
"0001","2018","LTU",1218630.2,39501.7893030794
"0001","2018","LUX",708058,22951.6369529984
"0001","2018","LVA",1401253.2,45421.4975688817
"0001","2018","MLT",12257,397.309562398703
"0001","2018","NLD",65306369.2,2116900.13614263
"0001","2018","POL",48615502.2,1575867.17017828
"0001","2018","PRT",8209387.2,266106.554294976
"0001","2018","ROU",19004906.9642857,616042.365130817
"0001","2018","SVK",47312595.4,1533633.5623987
"0001","2018","SVN",2312325.2,74953.8152350081
"0001","2018","SWE",4016061.6,130180.278768233
"0002","1999","AUT",162900,9582.35294117647
"0002","1999","BEL",609800,35870.5882352941
"0002","1999","BGR",7400,435.294117647059
"0002","1999","CZE",25500,1500
"0002","1999","DEU",474033416,27884318.5882353
"0002","1999","DNK",129647900,7626347.05882353
"0002","1999","ESP",55627967,3272233.35294118
"0002","1999","EST",8100,476.470588235294
"0002","1999","FIN",73100,4300
"0002","1999","FRA",72997714.1140385,4293983.18317874
"0002","1999","GBR",106129362.314098,6242903.6655352
"0002","1999","GRC",152500,8970.58823529412
"0002","1999","IRL",11400,670.588235294118
"0002","1999","ITA",1638655,96391.4705882353
"0002","1999","LTU",200,11.7647058823529
"0002","1999","LUX",2800,164.705882352941
"0002","1999","LVA",500,29.4117647058824
"0002","1999","NLD",836536272.467687,49208016.027511
"0002","1999","POL",69600,4094.11764705882
"0002","1999","PRT",16200,952.941176470589
"0002","1999","ROU",7500,441.176470588235
