UNU_Key,Country,AverageWeight,Year
0902,,5.51,2002.0
0902,,5.51,2003.0
0902,,5.51,2004.0
0902,,5.51,2005.0
0902,,5.51,2006.0
0902,,5.51,2007.0
0902,,5.51,2008.0
0001,,30.85,1993.0
0001,,30.85,1994.0
0001,,30.85,1995.0
0001,,30.85,1996.0
0001,,30.85,1997.0
0001,,30.85,1998.0
0001,,30.85,1999.0
0001,,30.85,2000.0
0001,,30.85,2001.0
0001,,30.85,2002.0
0001,,30.85,2003.0
0001,,30.85,2004.0
0001,,30.85,2005.0
0001,,30.85,2006.0
0001,,30.85,2007.0
0001,,30.85,2008.0
0101,,124.61,1993.0
0101,,124.61,1994.0
0101,,124.61,1995.0
0101,,124.61,1996.0
0101,,124.61,1997.0
0101,,124.61,1998.0
0101,,124.61,1999.0
0101,,124.61,2000.0
0101,,124.61,2001.0
0101,,124.61,2002.0
0101,,124.61,2003.0
0101,,124.61,2004.0
0101,,124.61,2005.0
0101,,124.61,2006.0
0101,,124.61,2007.0
0101,,124.61,2008.0
0102,,49.35,1993.0
0102,,49.35,1994.0
0102,,49.35,1995.0
0102,,49.35,1996.0
0102,,48.91,1997.0
0102,,48.48,1998.0
0102,,48.05,1999.0
0102,,47.62,2000.0
0102,,47.18,2001.0
0102,,46.75,2002.0
0102,,46.32,2003.0
0102,,45.89,2004.0
0102,,45.46,2005.0
0102,,45.02,2006.0
0102,,44.59,2007.0
0102,,44.16,2008.0
0103,,41.86,1993.0
0103,,41.86,1994.0
0103,,41.86,1995.0
0103,,41.86,1996.0
0103,,42.27,1997.0
0103,,42.68,1998.0
0103,,43.1,1999.0
0103,,43.51,2000.0
0103,,43.93,2001.0
0103,,44.34,2002.0
0103,,44.76,2003.0
0103,,45.17,2004.0
0103,,45.58,2005.0
1001,,44.0,2006.0
1001,,44.0,2007.0
1001,,44.0,2008.0
1002,,92.22,1993.0
1002,,92.22,1994.0
1002,,92.22,1995.0
1002,,92.22,1996.0
1002,,92.22,1997.0
1002,,92.22,1998.0
1002,,92.22,1999.0
1002,,92.22,2000.0
1002,,92.22,2001.0
1002,,92.22,2002.0
1002,,92.22,2003.0
1002,,92.22,2004.0
1002,,92.22,2005.0
1002,,92.22,2006.0
1002,,92.22,2007.0
1002,,92.22,2008.0
0001,,30.85,2009.0
0101,,124.61,2009.0
0102,,43.73,2009.0
0103,,47.24,2009.0
0104,,72.31,2009.0
0105,,45.42,2009.0
0106,,12.14,2009.0
0108,,40.27,2009.0
0001,,30.85,2013.0
1001,,44.0,2013.0
1002,,92.22,2013.0
0101,,124.61,2013.0
0102,,43.3,2013.0
0103,,47.66,2013.0
0104,,72.54,2013.0
0105,,45.98,2013.0
0106,,12.14,2013.0
0108,,40.79,2013.0
0109,,44.09,2013.0
0111,,26.7,2013.0
0201,,0.99,2013.0
0202,,3.27,2013.0
0203,,1.89,2013.0
0204,,5.88,2013.0
0205,,0.55,2013.0
0301,,0.4,2013.0
0302,,8.77,2013.0
